id,question_id,question,answer,rubric,score,pred_score
f069275a-e786-4ba5-8c15-4349c138c15e,920df344-fe5c-4f48-ae64-a8458e8db40a,"Beurteile das Zerteilen der Äpfel hinsichlich der Geschwindigkeit des Verderblichkeitsprozesses (Hinweis: wenn Du fachliche Informationen zu chemischen Abläufen des Verderbens einbeziehen möchtest, kannst Du diese unter Angabe der Quellen recherchieren und einbinden).","Durch Zerteilen der Äpfel ändert sich das Verhältnis von Volumen zur Oberfläche .
Wenn die Stücke kleiner sind , ist die Oberfläche im Verhältnis zum Volumen größer .
Dadurch reagieren wiederum mehr Teilchen .
Die Äpfel sollten also nicht zerschnitten werden , wenn eine lange Haltbarkeit erreicht werden soll .
","{'Incorrect': ['Die Schüler:innen beurteilen die Verderblichkeit der Äpfel nicht auf Basis des Kollisionsmodells', 'Die Schüler:innen beurteilen die Verderblichkeit der Äpfel teilweise auf Basis des Kollisionsmodells.'], 'Correct': 'Die Schüler:innen beurteilen die Verderblichkeit der Äpfel umfassend auf Basis des Kollisionsmodells.'}",Incorrect,Correct
659094ae-3233-4a20-9da7-200b3eed9738,920df344-fe5c-4f48-ae64-a8458e8db40a,"Beurteile das Zerteilen der Äpfel hinsichlich der Geschwindigkeit des Verderblichkeitsprozesses (Hinweis: wenn Du fachliche Informationen zu chemischen Abläufen des Verderbens einbeziehen möchtest, kannst Du diese unter Angabe der Quellen recherchieren und einbinden).","Zerteilter Apfel = höherer Zerteilungsgrad = höhere Reaktionsgeschwindigkeit = schnelleres verderben
","{'Incorrect': ['Die Schüler:innen beurteilen die Verderblichkeit der Äpfel nicht auf Basis des Kollisionsmodells', 'Die Schüler:innen beurteilen die Verderblichkeit der Äpfel teilweise auf Basis des Kollisionsmodells.'], 'Correct': 'Die Schüler:innen beurteilen die Verderblichkeit der Äpfel umfassend auf Basis des Kollisionsmodells.'}",Correct,Incorrect
52fb2775-9aed-46c4-8388-d4bb4076cc7e,920df344-fe5c-4f48-ae64-a8458e8db40a,"Beurteile das Zerteilen der Äpfel hinsichlich der Geschwindigkeit des Verderblichkeitsprozesses (Hinweis: wenn Du fachliche Informationen zu chemischen Abläufen des Verderbens einbeziehen möchtest, kannst Du diese unter Angabe der Quellen recherchieren und einbinden).","Je öfter der Apfel zerteilt wurde , desto höher ist die Reaktionsgeschwindigkeit , also verdirbt der Apfel schneller .
","{'Incorrect': ['Die Schüler:innen beurteilen die Verderblichkeit der Äpfel nicht auf Basis des Kollisionsmodells', 'Die Schüler:innen beurteilen die Verderblichkeit der Äpfel teilweise auf Basis des Kollisionsmodells.'], 'Correct': 'Die Schüler:innen beurteilen die Verderblichkeit der Äpfel umfassend auf Basis des Kollisionsmodells.'}",Correct,Incorrect
ad9c1e35-0ac1-4b17-9032-b052d77da325,920df344-fe5c-4f48-ae64-a8458e8db40a,"Beurteile das Zerteilen der Äpfel hinsichlich der Geschwindigkeit des Verderblichkeitsprozesses (Hinweis: wenn Du fachliche Informationen zu chemischen Abläufen des Verderbens einbeziehen möchtest, kannst Du diese unter Angabe der Quellen recherchieren und einbinden).","äpfel verderben schneller bei höheren temperaturen , weil die reaktionsgeschwindigkeit angehoben wird
","{'Incorrect': ['Die Schüler:innen beurteilen die Verderblichkeit der Äpfel nicht auf Basis des Kollisionsmodells', 'Die Schüler:innen beurteilen die Verderblichkeit der Äpfel teilweise auf Basis des Kollisionsmodells.'], 'Correct': 'Die Schüler:innen beurteilen die Verderblichkeit der Äpfel umfassend auf Basis des Kollisionsmodells.'}",Incorrect,Incorrect
b8ce1bd1-3d2b-4c0b-8da3-96534539b9cc,920df344-fe5c-4f48-ae64-a8458e8db40a,"Beurteile das Zerteilen der Äpfel hinsichlich der Geschwindigkeit des Verderblichkeitsprozesses (Hinweis: wenn Du fachliche Informationen zu chemischen Abläufen des Verderbens einbeziehen möchtest, kannst Du diese unter Angabe der Quellen recherchieren und einbinden).","Je kleiner die Äpfel geschnitten werden , desto größer ist deren Oberfläche , die reagieren kann .
Je größer die Oberfläche ist , desto mehr Zusammenstöße und daher mehr effektive Zusammenstöße können passieren und desto schneller verläuft Reaktion .
","{'Incorrect': ['Die Schüler:innen beurteilen die Verderblichkeit der Äpfel nicht auf Basis des Kollisionsmodells', 'Die Schüler:innen beurteilen die Verderblichkeit der Äpfel teilweise auf Basis des Kollisionsmodells.'], 'Correct': 'Die Schüler:innen beurteilen die Verderblichkeit der Äpfel umfassend auf Basis des Kollisionsmodells.'}",Correct,Correct
cbf0022e-5f4f-44a9-aaf6-a534999da353,920df344-fe5c-4f48-ae64-a8458e8db40a,"Beurteile das Zerteilen der Äpfel hinsichlich der Geschwindigkeit des Verderblichkeitsprozesses (Hinweis: wenn Du fachliche Informationen zu chemischen Abläufen des Verderbens einbeziehen möchtest, kannst Du diese unter Angabe der Quellen recherchieren und einbinden).","Je größer die Oberfläche des Apfels ist , desto mehr können Stoffe an der Oberfläche reagieren , z. B. oxidieren ( also braum werden ) .
","{'Incorrect': ['Die Schüler:innen beurteilen die Verderblichkeit der Äpfel nicht auf Basis des Kollisionsmodells', 'Die Schüler:innen beurteilen die Verderblichkeit der Äpfel teilweise auf Basis des Kollisionsmodells.'], 'Correct': 'Die Schüler:innen beurteilen die Verderblichkeit der Äpfel umfassend auf Basis des Kollisionsmodells.'}",Incorrect,Correct
b9f9f58a-b064-4f40-acde-3b0702250aca,920df344-fe5c-4f48-ae64-a8458e8db40a,"Beurteile das Zerteilen der Äpfel hinsichlich der Geschwindigkeit des Verderblichkeitsprozesses (Hinweis: wenn Du fachliche Informationen zu chemischen Abläufen des Verderbens einbeziehen möchtest, kannst Du diese unter Angabe der Quellen recherchieren und einbinden).","Je kleiner der Apfel geschnitten wird desto schneller wird er verfaulen .
Das liegt an der Vergrößerung der Oberfläche
","{'Incorrect': ['Die Schüler:innen beurteilen die Verderblichkeit der Äpfel nicht auf Basis des Kollisionsmodells', 'Die Schüler:innen beurteilen die Verderblichkeit der Äpfel teilweise auf Basis des Kollisionsmodells.'], 'Correct': 'Die Schüler:innen beurteilen die Verderblichkeit der Äpfel umfassend auf Basis des Kollisionsmodells.'}",Correct,Incorrect
57cc02a8-7d10-427f-be97-a3a88f91c9e3,920df344-fe5c-4f48-ae64-a8458e8db40a,"Beurteile das Zerteilen der Äpfel hinsichlich der Geschwindigkeit des Verderblichkeitsprozesses (Hinweis: wenn Du fachliche Informationen zu chemischen Abläufen des Verderbens einbeziehen möchtest, kannst Du diese unter Angabe der Quellen recherchieren und einbinden).","Wenn man den Apfel zerteilt ist eine größere Fläche der Luft ausgestetzt .
Dadurch verdirbt der Apfel insgesamt schneller .
","{'Incorrect': ['Die Schüler:innen beurteilen die Verderblichkeit der Äpfel nicht auf Basis des Kollisionsmodells', 'Die Schüler:innen beurteilen die Verderblichkeit der Äpfel teilweise auf Basis des Kollisionsmodells.'], 'Correct': 'Die Schüler:innen beurteilen die Verderblichkeit der Äpfel umfassend auf Basis des Kollisionsmodells.'}",Incorrect,Incorrect
cba070ca-6d31-4392-ae99-d29745f4678e,920df344-fe5c-4f48-ae64-a8458e8db40a,"Beurteile das Zerteilen der Äpfel hinsichlich der Geschwindigkeit des Verderblichkeitsprozesses (Hinweis: wenn Du fachliche Informationen zu chemischen Abläufen des Verderbens einbeziehen möchtest, kannst Du diese unter Angabe der Quellen recherchieren und einbinden).","Durch das Teilen der Äpfel kann in Prozent eine größere Fläche des Apfelstücks mit der Luft reagieren und verderben .
Bei größeren Stücken ist der Großteil noch verdeckt , von der an der Luft liegenden Seite .
","{'Incorrect': ['Die Schüler:innen beurteilen die Verderblichkeit der Äpfel nicht auf Basis des Kollisionsmodells', 'Die Schüler:innen beurteilen die Verderblichkeit der Äpfel teilweise auf Basis des Kollisionsmodells.'], 'Correct': 'Die Schüler:innen beurteilen die Verderblichkeit der Äpfel umfassend auf Basis des Kollisionsmodells.'}",Incorrect,Incorrect
3085febc-0cad-4ae8-b29d-f4dd8a262cb3,fcf5ff56-5e98-4eb7-8df3-afb0544d9739,Erläutere die Auswirkungen der jahreszeitabhängigen Strahlungsenergie auf die Gewinnung von elektrischer Energie durch Photovoltaik.,"Es gibt zeiten da wird mehr energie produziert als in anderen zwiten wo weniger einergie produziert wird ...
Бывают периоды , когда производится больше энергии , чем в другие периоды , когда производится меньше энергии ...
","{'Incorrect': ['Die SuS erklären nicht, dass dadurch die Möglichkeit der Umwandlung in elektrische Energie jahreszeitabhängig ist.', 'Die SuS erklären, dass durch die unterschiedlichen Strahlungsenergien im Jahresverlauf die Möglichkeit der Umwandlung in elektrische Energie jahreszeitabhängig ist.'], 'Correct': 'Die SuS erklären, dass durch die unterschiedlichen Strahlungsenergien im Jahresverlauf die Möglichkeit der Umwandlung in elektrische Energie jahreszeitabhängig ist und erklären, dass besonders im Winter wenn Energie zum Heizen und Beleuchten benötigt wird, weniger umgewandelt werden kann.'}",Incorrect,Incorrect
76f5af19-ab26-498f-8017-57b1856c1d98,fcf5ff56-5e98-4eb7-8df3-afb0544d9739,Erläutere die Auswirkungen der jahreszeitabhängigen Strahlungsenergie auf die Gewinnung von elektrischer Energie durch Photovoltaik.,"Dadurch das im Winter viel Weniger strahlungsenergie kommt als im Sommer wird man im Winter viel weniger mit Strahlungs energie Versorgt was dann eventuell den nötigen bedarf nicht deckt .
Man Könnte versuchen die Sommer Energie zu Speichern das ist Jedoch nicht möglich .
","{'Incorrect': ['Die SuS erklären nicht, dass dadurch die Möglichkeit der Umwandlung in elektrische Energie jahreszeitabhängig ist.', 'Die SuS erklären, dass durch die unterschiedlichen Strahlungsenergien im Jahresverlauf die Möglichkeit der Umwandlung in elektrische Energie jahreszeitabhängig ist.'], 'Correct': 'Die SuS erklären, dass durch die unterschiedlichen Strahlungsenergien im Jahresverlauf die Möglichkeit der Umwandlung in elektrische Energie jahreszeitabhängig ist und erklären, dass besonders im Winter wenn Energie zum Heizen und Beleuchten benötigt wird, weniger umgewandelt werden kann.'}",Correct,Correct
4bb405da-9507-49b2-86d9-19cd2af88135,fcf5ff56-5e98-4eb7-8df3-afb0544d9739,Erläutere die Auswirkungen der jahreszeitabhängigen Strahlungsenergie auf die Gewinnung von elektrischer Energie durch Photovoltaik.,"In kalten Tagen wird weniger Energie freigelassen wegen der bewölkung als in heißen tagen
","{'Incorrect': ['Die SuS erklären nicht, dass dadurch die Möglichkeit der Umwandlung in elektrische Energie jahreszeitabhängig ist.', 'Die SuS erklären, dass durch die unterschiedlichen Strahlungsenergien im Jahresverlauf die Möglichkeit der Umwandlung in elektrische Energie jahreszeitabhängig ist.'], 'Correct': 'Die SuS erklären, dass durch die unterschiedlichen Strahlungsenergien im Jahresverlauf die Möglichkeit der Umwandlung in elektrische Energie jahreszeitabhängig ist und erklären, dass besonders im Winter wenn Energie zum Heizen und Beleuchten benötigt wird, weniger umgewandelt werden kann.'}",Incorrect,Incorrect
52d7f0e9-6370-4364-9400-ed1b031ada73,fcf5ff56-5e98-4eb7-8df3-afb0544d9739,Erläutere die Auswirkungen der jahreszeitabhängigen Strahlungsenergie auf die Gewinnung von elektrischer Energie durch Photovoltaik.,"Im Sommer ist die Sonneneinstrahlung am stärksten deshalb ist die Energie Gewinnung am höchsten Demnach ist es im Winter umgekehrt denn da steht die sonne tiefer und die Sonneneinstrahlung niedrig wodurch die Energie Gewinnung sehr niedrig ist
","{'Incorrect': ['Die SuS erklären nicht, dass dadurch die Möglichkeit der Umwandlung in elektrische Energie jahreszeitabhängig ist.', 'Die SuS erklären, dass durch die unterschiedlichen Strahlungsenergien im Jahresverlauf die Möglichkeit der Umwandlung in elektrische Energie jahreszeitabhängig ist.'], 'Correct': 'Die SuS erklären, dass durch die unterschiedlichen Strahlungsenergien im Jahresverlauf die Möglichkeit der Umwandlung in elektrische Energie jahreszeitabhängig ist und erklären, dass besonders im Winter wenn Energie zum Heizen und Beleuchten benötigt wird, weniger umgewandelt werden kann.'}",Incorrect,Incorrect
